Date,Team1,Team2,Venue,Time
22/3/2025,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata,19:30
23/3/2025,Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,15:30
23/3/2025,Chennai Super Kings,Mumbai Indians,Chennai,19:30
24/3/2025,Delhi Capitals,Lucknow Super Giants,Visakhapatnam,19:30
25/3/2025,Gujarat Titans,Punjab Kings,Ahmedabad,19:30
26/3/2025,Rajasthan Royals,Kolkata Knight Riders,Guwahati,19:30
27/3/2025,Sunrisers Hyderabad,Lucknow Super Giants,Hyderabad,19:30
28/3/2025,Chennai Super Kings,Royal Challengers Bengaluru,Chennai,19:30
29/3/2025,Gujarat Titans,Mumbai Indians,Ahmedabad,19:30
30/3/2025,Delhi Capitals,Sunrisers Hyderabad,Visakhapatnam,15:30
30/3/2025,Rajasthan Royals,Chennai Super Kings,Guwahati,19:30
31/3/2025,Mumbai Indians,Kolkata Knight Riders,Mumbai,19:30
1/4/2025,Lucknow Super Giants,Punjab Kings,Lucknow,19:30
2/4/2025,Royal Challengers Bengaluru,Gujarat Titans,Bengaluru,19:30
3/4/2025,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,19:30
4/4/2025,Lucknow Super Giants,Mumbai Indians,Lucknow,19:30
5/4/2025,Chennai Super Kings,Delhi Capitals,Chennai,15:30
5/4/2025,Punjab Kings,Rajasthan Royals,New Chandigarh,19:30
6/4/2025,Sunrisers Hyderabad,Gujarat Titans,Hyderabad,19:30
7/4/2025,Mumbai Indians,Royal Challengers Bengaluru,Mumbai,19:30
8/4/2025,Kolkata Knight Riders,Lucknow Super Giants,Kolkata,15:30
8/4/2025,Punjab Kings,Chennai Super Kings,New Chandigarh,19:30
9/4/2025,Gujarat Titans,Rajasthan Royals,Ahmedabad,19:30
10/4/2025,Royal Challengers Bengaluru,Delhi Capitals,Bengaluru,19:30
11/4/2025,Chennai Super Kings,Kolkata Knight Riders,Chennai,19:30
12/4/2025,Lucknow Super Giants,Gujarat Titans,Lucknow,15:30
12/4/2025,Sunrisers Hyderabad,Punjab Kings,Hyderabad,19:30
13/4/2025,Rajasthan Royals,Royal Challengers Bengaluru,Jaipur,15:30
13/4/2025,Delhi Capitals,Mumbai Indians,Delhi,19:30
14/4/2025,Lucknow Super Giants,Chennai Super Kings,Lucknow,19:30
15/4/2025,Punjab Kings,Kolkata Knight Riders,New Chandigarh,19:30
16/4/2025,Delhi Capitals,Rajasthan Royals,Delhi,19:30
17/4/2025,Mumbai Indians,Sunrisers Hyderabad,Mumbai,19:30
18/4/2025,Royal Challengers Bengaluru,Punjab Kings,Bengaluru,19:30
19/4/2025,Gujarat Titans,Delhi Capitals,Ahmedabad,15:30
19/4/2025,Rajasthan Royals,Lucknow Super Giants,Jaipur,19:30
20/4/2025,Punjab Kings,Royal Challengers Bengaluru,New Chandigarh,15:30
20/4/2025,Mumbai Indians,Chennai Super Kings,Mumbai,19:30
21/4/2025,Kolkata Knight Riders,Gujarat Titans,Kolkata,19:30
22/4/2025,Lucknow Super Giants,Delhi Capitals,Lucknow,19:30
23/4/2025,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,19:30
24/4/2025,Royal Challengers Bengaluru,Rajasthan Royals,Bengaluru,19:30
25/4/2025,Chennai Super Kings,Sunrisers Hyderabad,Chennai,19:30
26/4/2025,Kolkata Knight Riders,Punjab Kings,Kolkata,19:30
27/4/2025,Mumbai Indians,Lucknow Super Giants,Mumbai,15:30
27/4/2025,Delhi Capitals,Royal Challengers Bengaluru,Delhi,19:30
28/4/2025,Rajasthan Royals,Gujarat Titans,Jaipur,19:30
29/4/2025,Delhi Capitals,Kolkata Knight Riders,Delhi,19:30
30/4/2025,Chennai Super Kings,Punjab Kings,Chennai,19:30
1/5/2025,Rajasthan Royals,Mumbai Indians,Jaipur,19:30
2/5/2025,Gujarat Titans,Sunrisers Hyderabad,Ahmedabad,19:30
3/5/2025,Royal Challengers Bengaluru,Chennai Super Kings,Bengaluru,19:30
4/5/2025,Kolkata Knight Riders,Rajasthan Royals,Kolkata,15:30
4/5/2025,Punjab Kings,Lucknow Super Giants,Dharamsala,19:30
5/5/2025,Sunrisers Hyderabad,Delhi Capitals,Hyderabad,19:30
6/5/2025,Mumbai Indians,Gujarat Titans,Mumbai,19:30
7/5/2025,Kolkata Knight Riders,Chennai Super Kings,Kolkata,19:30
8/5/2025,Punjab Kings,Delhi Capitals,Dharamsala,19:30
9/5/2025,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow,19:30
10/5/2025,Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,19:30
11/5/2025,Punjab Kings,Mumbai Indians,Dharamsala,15:30
11/5/2025,Delhi Capitals,Gujarat Titans,Delhi,19:30
12/5/2025,Chennai Super Kings,Rajasthan Royals,Chennai,19:30
13/5/2025,Royal Challengers Bengaluru,Sunrisers Hyderabad,Bengaluru,19:30
14/5/2025,Gujarat Titans,Lucknow Super Giants,Ahmedabad,19:30
15/5/2025,Mumbai Indians,Delhi Capitals,Mumbai,19:30
16/5/2025,Rajasthan Royals,Punjab Kings,Jaipur,19:30
17/5/2025,Royal Challengers Bengaluru,Kolkata Knight Riders,Bengaluru,19:30
18/5/2025,Gujarat Titans,Chennai Super Kings,Ahmedabad,15:30
18/5/2025,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow,19:30